text,label,binary_label
"The Charter is ""a statement of Government commitment to support Rural Ireland's regeneration and to underpin the future sustainable development of Ireland's rural communities"" The Charter's vision recognised the need for strong support for the country's rural communities and set out a number of specific commi tments which would establish frameworks and practices to support the rejuvenation of the rural economy and rural society, particularly in the areas of enterprise creation and development, the maintenance and restoration of the rural cultural heritage, supp ort and protection for existing towns and settlements, safe and secure rural communities and an increased quality of life for all rural dwellers.",Non-Incentive,Non-Incentive
"The Plan sets out to support sustainable communities, supp ort enterprise and employment, maximise our rural and recreation potential, foster culture and creativity, and improve rural connectivity.",Non-Incentive,Non-Incentive
"The Charter argued that support for rural development required a multi -faceted approach involving full public consultation and the involvement of Government Departments, S tate agencies and other relevant stakeholders.",Non-Incentive,Non-Incentive
"The policy framework envisaged by the Charter would create systems to support the economic, social and cultural development of rural Ireland.",Non-Incentive,Non-Incentive
"The Action Plan sets out more than 270 actions across 5 pillars:  Supporting Sustainable Commu nities  Supporting Enterprise and Employment  Maximising our Rural Tourism and Recreation Potential  Fostering Culture and Creativity in Rural Communities  Improving Rural Infrastructure and Connectivity The Action Plan is a significant Government intervention in rural development policy, taking a whole -of-Government approach to the economic, social and cultural development of rural —— 7 Ireland for the first time.",Non-Incentive,Non-Incentive
The emphasis in each strand of the consultation process was on the identification of practical actions that could be taken to support economic and/or social development in rural Ireland.,Non-Incentive,Non-Incentive
"—— 8 Links with Other Strategies/Policy Frameworks As set out in the Charter, supporting the economic and social development of rural areas is the responsibility of a range of Government Departments and agencies and local government.",Non-Incentive,Non-Incentive
"In order to avoid duplication of effort and resources, the Action Plan acknowledged strategies and programmes such as those outlined above, while also providing additional supporting mechanisms which would assist in the goals outlined in these initiatives while also introducing new and innovative policy interventions in these and other sectors.",Non-Incentive,Non-Incentive
The Programme for a Partnership Government (2016) included a commitment to support a new Cabinet level Minister to provide greater political coordination and prioritisation of the work across Government Departments that impacts on rural Ireland.,Non-Incentive,Non-Incentive
The support provided by the development of a Framework Policy on Local and Community Development which will work in tandem with the processes at national and local level to maximise the impact of local and community a dditional investment in development initiatives is also vital.,Non-Incentive,Non-Incentive
"In that regard, the Government reiterates its commitment to the collaborative development, delivery and rollout of programmes at local level, which will enhance and revitalise rural communitie s. These include the LEADER element of the Rural Development Programme 2014 -2020 and rural Ireland provided from central Government through the Town and Village Renewal Scheme, the CLÁR Programme, the Outdoor Recreation Infrastructure —— 11 Scheme and the Rural Regeneration and Development Fund.",Non-Incentive,Non-Incentive
"Commitment 6 - Publish guidelines for LCDCs, which will ensure full and active participation of rural dwellers in initiatives to support economic and community development, and monitor the implementation of these guidelines.",Non-Incentive,Non-Incentive
"These supports, together with the ongoing rollout of the Framework Pol icy on Local and Community Development, provide a comprehensive structure for effective participation in decision -making by local communities in rural areas.",Non-Incentive,Non-Incentive
"—— 12 Commitment 7 - In the context of the provision of specific support for enterprise in rural areas, ensure that all LCDCs, Local Enterprise Offices, rural Planning Authorities and other stakeholders collaborate effectively to support enterprise in local areas, including Social Enterprise, and review and seek to eliminate such barriers to rur al enterprise as currently exist .",Non-Incentive,Non-Incentive
Each plan contains a series of actions with timelines for delivery through improved collaboration between enterprise agencies and other stakeholders supporting enterprise development in the regions.,Non-Incentive,Non-Incentive
The Governm ent’s new Rural Regeneration and Development Fund also places an emphasis on supporting entrepreneurship and job creation in rural areas.,Non-Incentive,Non-Incentive
The Regional Spatial and Economic Strategies will provide a long -term regional level strategic planning and economic framework in support of the implementation of the National Planning Framework.,Non-Incentive,Non-Incentive
Commitment 9 - Develop a national database of best practice examples of grant aid ed rural development projects that are available to the interested parties.,Non-Incentive,Non-Incentive
"The Charter highlights how the Irish Rural Development Programme 2014 -2020 will be a key support in enhancing the competitiveness of the agri -food sector, in achieving more sustainable management of natural and cultural heritage resources and ensuring more balanc ed development of rural areas including their economies and communities.",Non-Incentive,Non-Incentive
"The objective of the Fund is to provide investment to support ambi tious, collaborative projects in rural settlements of less than 10,000 people and outlying areas.",Non-Incentive,Non-Incentive
